area,building_type,location,num_bath_rooms,num_bed_rooms,price
3 Beds,Apartment,"Block C, Arambag Residential Area, Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,55 Lakh
3 Beds,Apartment,"CDA Residential Area, South Agrabad, Double Mooring, Chattogram",3 Beds,3 Beds,60 Lakh
3 Beds,Apartment,"West Shewrapara, Mirpur, Dhaka",3 Beds,3 Beds,55 Lakh
3 Beds,Apartment,"Block D, Section 10, Mirpur, Dhaka",3 Beds,3 Beds,42 Lakh
3 Beds,Apartment,"Block D, Section 2, Mirpur, Dhaka",3 Beds,3 Beds,60 Lakh
3 Beds,Apartment,"Block D, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.2 Crore
3 Beds,Apartment,"Kalabagan, Dhaka",3 Beds,3 Beds,1.45 Crore
3 Beds,Apartment,"Mirpur, Dhaka",3 Beds,3 Beds,55 Lakh
3 Beds,Apartment,"Mirpur, Dhaka",3 Beds,3 Beds,45 Lakh
2 Beds,Apartment,"Shantipur, South Goran, Goran, Khilgaon, Dhaka",2 Beds,2 Beds,40 Lakh
2 Beds,Apartment,"Block B, Section 12, Mirpur, Dhaka",2 Beds,2 Beds,36 Lakh
3 Beds,Apartment,"Dampara, 14 No. Lalkhan Bazaar Ward, Lal Khan Bazaar, Chattogram",3 Beds,3 Beds,61 Lakh
3 Beds,Apartment,"South Agrabad, Double Mooring, Chattogram",3 Beds,3 Beds,55 Lakh
2 Beds,Apartment,"Block C, Section 6, Mirpur, Dhaka",2 Beds,2 Beds,30 Lakh
3 Beds,Apartment,"Section 1, Mirpur, Dhaka",3 Beds,3 Beds,65 Lakh
3 Beds,Apartment,"Block D, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.3 Crore
3 Beds,Apartment,"PC Culture Housing, Mohammadpur, Dhaka",3 Beds,3 Beds,80 Lakh
3 Beds,Apartment,"O R Nizam Road Residential Area, Nasirabad, 15 No. Bagmoniram Ward, Chattogram",3 Beds,3 Beds,95 Lakh
3 Beds,Apartment,"New Eskaton, Eskaton, Dhaka",3 Beds,3 Beds,1.08 Crore
3 Beds,Apartment,"Lake Valley R/A, 9 No. North Pahartali Ward, Chattogram",3 Beds,3 Beds,70 Lakh
3 Beds,Apartment,"Shyamoli, Dhaka",3 Beds,3 Beds,95 Lakh
3 Beds,Apartment,"Sector 13, Uttara, Dhaka",3 Beds,3 Beds,1.9 Crore
2 Beds,Apartment,"Block E, Section 12, Mirpur, Dhaka",2 Beds,2 Beds,34 Lakh
3 Beds,Apartment,"Bou Bazar, East Hazipara, East Rampura, Rampura, Dhaka",3 Beds,3 Beds,90 Lakh
3 Beds,Apartment,"Chandrima, Chandgaon Residential Area, 4 No Chandgaon Ward, Chattogram",3 Beds,3 Beds,60 Lakh
3 Beds,Apartment,"Mohammadpur, Dhaka",3 Beds,3 Beds,1.73 Crore
3 Beds,Apartment,"Tejgaon, Dhaka",3 Beds,3 Beds,62 Lakh
3 Beds,Apartment,"Section 2, Mirpur, Dhaka",3 Beds,3 Beds,75 Lakh
3 Beds,Apartment,"Sector 7, Uttara, Dhaka",3 Beds,3 Beds,1.1 Crore
4 Beds,Apartment,"Rainkhola, Block Cha, Section 2, Mirpur, Dhaka",4 Beds,4 Beds,65 Lakh
3 Beds,Apartment,"Mirpur, Dhaka",3 Beds,3 Beds,50 Lakh
3 Beds,Apartment,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",3 Beds,3 Beds,45 Lakh
3 Beds,Apartment,"West Shewrapara, Mirpur, Dhaka",3 Beds,3 Beds,1.6 Crore
2 Beds,Apartment,"Taltola, Agargaon, Dhaka",2 Beds,2 Beds,66 Lakh
3 Beds,Apartment,"South Agrabad, Double Mooring, Chattogram",3 Beds,3 Beds,50 Lakh
2 Beds,Apartment,"Block A, Section 2, Mirpur, Dhaka",2 Beds,2 Beds,42 Lakh
3 Beds,Apartment,"Block C, Section 12, Mirpur, Dhaka",3 Beds,3 Beds,55 Lakh
3 Beds,Apartment,"Block C, Hill View R/A, Bayazid, Chattogram",3 Beds,3 Beds,1 Crore
3 Beds,Apartment,"Block C, Hill View R/A, Bayazid, Chattogram",3 Beds,3 Beds,48 Lakh
2 Beds,Apartment,"Tolarbag, Section 1, Mirpur, Dhaka",2 Beds,2 Beds,35 Lakh
2 Beds,Apartment,"South Badda, Badda, Dhaka",2 Beds,2 Beds,42 Lakh
3 Beds,Apartment,"Block E, Section 11, Mirpur, Dhaka",3 Beds,3 Beds,25 Lakh
2 Beds,Apartment,"Mirpur, Dhaka",2 Beds,2 Beds,32 Lakh
3 Beds,Apartment,"Block A, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.4 Crore
2 Beds,Apartment,"Rupnagar R/A, Mirpur, Dhaka",2 Beds,2 Beds,23 Lakh
3 Beds,Apartment,"Cantonment, Dhaka",3 Beds,3 Beds,63 Lakh
3 Beds,Apartment,"Aainusbag, Dakshin Khan, Dhaka",3 Beds,3 Beds,45 Lakh
3 Beds,Apartment,"Bagan Bari, Cantonment, Dhaka",3 Beds,3 Beds,70 Lakh
2 Beds,Apartment,"Ashkona, Dakshin Khan, Dhaka",2 Beds,2 Beds,33.37 Lakh
3 Beds,Apartment,"East Kazipara, Mirpur, Dhaka",3 Beds,3 Beds,50 Lakh
3 Beds,Apartment,"Block Ka, North Bishil, Section 1, Mirpur, Dhaka",3 Beds,3 Beds,55 Lakh
3 Beds,Apartment,"Block Ka, North Bishil, Section 1, Mirpur, Dhaka",3 Beds,3 Beds,55 Lakh
3 Beds,Apartment,"Block Ka, North Bishil, Section 1, Mirpur, Dhaka",3 Beds,3 Beds,45 Lakh
3 Beds,Apartment,"Block Kha, North Bishil, Section 1, Mirpur, Dhaka",3 Beds,3 Beds,60 Lakh
2 Beds,Apartment,"Block A, Section 2, Mirpur, Dhaka",2 Beds,2 Beds,37 Lakh
4 Beds,Apartment,"East Nasirabad, Chattogram",4 Beds,4 Beds,1.7 Crore
3 Beds,Apartment,"Block Kha, North Bishil, Section 1, Mirpur, Dhaka",3 Beds,3 Beds,65 Lakh
2 Beds,Apartment,"Block C, Section 12, Mirpur, Dhaka",2 Beds,2 Beds,30 Lakh
3 Beds,Apartment,"Arambag Residential Area, Mirpur, Dhaka",3 Beds,3 Beds,67 Lakh
3 Beds,Apartment,"Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,95 Lakh
3 Beds,Apartment,"Shantibag Residential Area, 24 No. North Agrabad Ward, Double Mooring, Chattogram",3 Beds,3 Beds,60 Lakh
2 Beds,Apartment,"Sector 11, Uttara, Dhaka",2 Beds,2 Beds,50 Lakh
3 Beds,Apartment,"Block J, Pallabi Extension, Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,55 Lakh
2 Beds,Apartment,"Tolarbag, Section 1, Mirpur, Dhaka",2 Beds,2 Beds,40 Lakh
3 Beds,Apartment,"Mirpur, Dhaka",3 Beds,3 Beds,66 Lakh
3 Beds,Apartment,"Block D, Section 2, Mirpur, Dhaka",3 Beds,3 Beds,1.05 Crore
3 Beds,Apartment,"Mirpur, Dhaka",3 Beds,3 Beds,60 Lakh
3 Beds,Apartment,"Block E, Banasree, Dhaka",3 Beds,3 Beds,67 Lakh
5 Beds,Apartment,"Moushair, Dakshin Khan, Dhaka",5 Beds,5 Beds,1.2 Crore
3 Beds,Apartment,"Block I, Bashundhara R-A, Dhaka",3 Beds,3 Beds,90 Lakh
2 Beds,Apartment,"Goran, Khilgaon, Dhaka",2 Beds,2 Beds,43 Lakh
3 Beds,Apartment,"Block B, Section 6, Mirpur, Dhaka",3 Beds,3 Beds,68 Lakh
3 Beds,Apartment,"Avenue 9, Mirpur DOHS, Mirpur, Dhaka",3 Beds,3 Beds,1 Crore
4 Beds,Apartment,"Block A, Section 6, Mirpur, Dhaka",4 Beds,4 Beds,85 Lakh
3 Beds,Apartment,"Avenue 9, Mirpur DOHS, Mirpur, Dhaka",3 Beds,3 Beds,1 Crore
2 Beds,Apartment,"Block A, Section 6, Mirpur, Dhaka",2 Beds,2 Beds,42 Lakh
3 Beds,Apartment,"Block B, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.7 Crore
4 Beds,Apartment,"Block C, Bashundhara R-A, Dhaka",4 Beds,4 Beds,1.8 Crore
3 Beds,Apartment,"South Khulshi, Khulshi, Chattogram",3 Beds,3 Beds,1.5 Crore
3 Beds,Apartment,"Block C, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.8 Crore
2 Beds,Apartment,"22 Bari, West Kazipara, Mirpur, Dhaka",2 Beds,2 Beds,42 Lakh
3 Beds,Apartment,"South Khulshi, Khulshi, Chattogram",3 Beds,3 Beds,1 Crore
2 Beds,Apartment,"Block B, Section 12, Mirpur, Dhaka",2 Beds,2 Beds,35 Lakh
3 Beds,Apartment,"East Nasirabad, Chattogram",3 Beds,3 Beds,90 Lakh
3 Beds,Apartment,"Block J, South Banasree Project, Banasree, Dhaka",3 Beds,3 Beds,68 Lakh
3 Beds,Apartment,"Block E, Arifabad Housing Society, Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,45 Lakh
2 Beds,Apartment,"22 Bari, West Kazipara, Mirpur, Dhaka",2 Beds,2 Beds,42 Lakh
3 Beds,Apartment,"Hillview Residential Area, 15 No. Bagmoniram Ward, Chattogram",3 Beds,3 Beds,1.5 Crore
3 Beds,Apartment,"Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,60 Lakh
3 Beds,Apartment,"24 No. North Agrabad Ward, Double Mooring, Chattogram",3 Beds,3 Beds,55 Lakh
3 Beds,Apartment,"Paikpara, Mirpur, Dhaka",3 Beds,3 Beds,63 Lakh
3 Beds,Apartment,"Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,60 Lakh
3 Beds,Apartment,"Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,75 Lakh
3 Beds,Apartment,"Block Ka, North Bishil, Section 1, Mirpur, Dhaka",3 Beds,3 Beds,50 Lakh
4 Beds,Apartment,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",4 Beds,4 Beds,2.67 Crore
3 Beds,Apartment,"Section 2, Mirpur, Dhaka",3 Beds,3 Beds,73.64 Lakh
3 Beds,Apartment,"Block F, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.2 Crore
3 Beds,Apartment,"Kazir Dewri, Chattogram",3 Beds,3 Beds,90 Lakh
2 Beds,Apartment,"Block B, Section 12, Mirpur, Dhaka",2 Beds,2 Beds,30 Lakh
4 Beds,Apartment,"Block A, Bashundhara R-A, Dhaka",4 Beds,4 Beds,2.2 Crore
3 Beds,Apartment,"Sector 12, Uttara, Dhaka",3 Beds,3 Beds,1.1 Crore
3 Beds,Apartment,"East Kafrul, Kafrul, Dhaka",3 Beds,3 Beds,76 Lakh
3 Beds,Apartment,"Sector 5, Uttara, Dhaka",3 Beds,3 Beds,93 Lakh
3 Beds,Apartment,"Block B, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2.4 Crore
4 Beds,Apartment,"Block A, Bashundhara R-A, Dhaka",4 Beds,4 Beds,2.2 Crore
2 Beds,Apartment,"Sobhanbagh, Tejgaon, Dhaka",2 Beds,2 Beds,30 Lakh
2 Beds,Apartment,"Block C, Section 12, Mirpur, Dhaka",2 Beds,2 Beds,20 Lakh
3 Beds,Apartment,"Aainusbag, Dakshin Khan, Dhaka",3 Beds,3 Beds,48 Lakh
3 Beds,Apartment,"Cantonment, Dhaka",3 Beds,3 Beds,1.2 Crore
4 Beds,Apartment,"Proshanti R/A, 10 No. North Kattali Ward, Chattogram",4 Beds,4 Beds,85 Lakh
3 Beds,Apartment,"Block F, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.4 Crore
3 Beds,Apartment,"Merul Badda, Badda, Dhaka",3 Beds,3 Beds,85 Lakh
2 Beds,Apartment,"Uttar Badda, Badda, Dhaka",2 Beds,2 Beds,35 Lakh
3 Beds,Apartment,"Mehidibag, 15 No. Bagmoniram Ward, Chattogram",3 Beds,3 Beds,85 Lakh
3 Beds,Apartment,"Sector 6, Uttara, Dhaka",3 Beds,3 Beds,1.3 Crore
3 Beds,Apartment,"Block F, Section 11, Mirpur, Dhaka",3 Beds,3 Beds,65 Lakh
2 Beds,Apartment,"Block E, Section 11, Mirpur, Dhaka",2 Beds,2 Beds,36.75 Lakh
7 Beds,Building,"Block C, Banasree, Dhaka",7 Beds,7 Beds,6.5 Crore
3 Beds,Apartment,"Block F, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.1 Crore
3 Beds,Apartment,"Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",3 Beds,3 Beds,64.17 Lakh
3 Beds,Apartment,"Block G/1, Section 2, Mirpur, Dhaka",3 Beds,3 Beds,55 Lakh
3 Beds,Apartment,"Block C, Bashundhara R-A, Dhaka",3 Beds,3 Beds,95 Lakh
3 Beds,Apartment,"Block D, Section 6, Mirpur, Dhaka",3 Beds,3 Beds,75 Lakh
3 Beds,Apartment,"South Chalabon, Dakshin Khan, Dhaka",3 Beds,3 Beds,58 Lakh
3 Beds,Apartment,"Block B, Banasree, Dhaka",3 Beds,3 Beds,1.25 Crore
3 Beds,Apartment,"Madhya Ajampur, Dakshin Khan, Dhaka",3 Beds,3 Beds,47 Lakh
3 Beds,Apartment,"Eastern Pallabi, Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,75 Lakh
3 Beds,Apartment,"Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,75 Lakh
3 Beds,Apartment,"Monipur, Mirpur, Dhaka",3 Beds,3 Beds,75 Lakh
2 Beds,Apartment,"Block H, Section 2, Mirpur, Dhaka",2 Beds,2 Beds,43 Lakh
3 Beds,Apartment,"Baitul Aman Housing Society, Adabor, Dhaka",3 Beds,3 Beds,55 Lakh
2 Beds,Apartment,"East Kazipara, Mirpur, Dhaka",2 Beds,2 Beds,47 Lakh
3 Beds,Apartment,"Shyamoli, Dhaka",3 Beds,3 Beds,72 Lakh
3 Beds,Apartment,"Section 1, Mirpur, Dhaka",3 Beds,3 Beds,35 Lakh
3 Beds,Apartment,"Mohammadpur, Dhaka",3 Beds,3 Beds,1.25 Crore
3 Beds,Apartment,"Rupnagar R/A, Mirpur, Dhaka",3 Beds,3 Beds,56.95 Lakh
3 Beds,Apartment,"Block G, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.35 Crore
3 Beds,Apartment,"Dhanmondi, Dhaka",3 Beds,3 Beds,1.16 Crore
3 Beds,Apartment,"Block B, Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,60 Lakh
3 Beds,Apartment,"Dhanmondi, Dhaka",3 Beds,3 Beds,1.13 Crore
3 Beds,Apartment,"Dhanmondi, Dhaka",3 Beds,3 Beds,1.2 Crore
3 Beds,Apartment,"Adarsha Para, Uttar Khan, Dhaka",3 Beds,3 Beds,80 Lakh
2 Beds,Apartment,"Rupnagar R/A, Mirpur, Dhaka",2 Beds,2 Beds,25 Lakh
2 Beds,Apartment,"Block D, Section 12, Mirpur, Dhaka",2 Beds,2 Beds,20 Lakh
2 Beds,Apartment,"Block D, Section 6, Mirpur, Dhaka",2 Beds,2 Beds,22.75 Lakh
3 Beds,Apartment,"Mirpur, Dhaka",3 Beds,3 Beds,55 Lakh
3 Beds,Apartment,"Paikpara, Mirpur, Dhaka",3 Beds,3 Beds,50 Lakh
3 Beds,Apartment,"East Shewrapara, Mirpur, Dhaka",3 Beds,3 Beds,45 Lakh
3 Beds,Apartment,"East Monipur, Mirpur, Dhaka",3 Beds,3 Beds,60 Lakh
2 Beds,Apartment,"Block D, Section 11, Mirpur, Dhaka",2 Beds,2 Beds,23 Lakh
3 Beds,Apartment,"Block F, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2.2 Crore
2 Beds,Apartment,"Block F, Section 1, Mirpur, Dhaka",2 Beds,2 Beds,24 Lakh
3 Beds,Apartment,"Shyamol Chhaya Residential Area, Chadra Nagar, Bayazid, Chattogram",3 Beds,3 Beds,45 Lakh
2 Beds,Apartment,"Block D, Section 1, Mirpur, Dhaka",2 Beds,2 Beds,30 Lakh
3 Beds,Apartment,"Block F, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.7 Crore
3 Beds,Apartment,"Lake Valley R/A, 9 No. North Pahartali Ward, Chattogram",3 Beds,3 Beds,70 Lakh
3 Beds,Apartment,"South Mollartek, Dakshin Khan, Dhaka",3 Beds,3 Beds,43.76 Lakh
3 Beds,Apartment,"Block C, Section 2, Mirpur, Dhaka",3 Beds,3 Beds,70 Lakh
2 Beds,Apartment,"Block C, Section 1, Mirpur, Dhaka",2 Beds,2 Beds,28 Lakh
,Plot,"Mirpur, Dhaka",,,10.5 Crore
2 Beds,Apartment,"Block D, Section 6, Mirpur, Dhaka",2 Beds,2 Beds,29 Lakh
2 Beds,Apartment,"Block E, Section 11, Mirpur, Dhaka",2 Beds,2 Beds,36.12 Lakh
3 Beds,Apartment,"Block G, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.7 Crore
3 Beds,Apartment,"Block F, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.4 Crore
2 Beds,Apartment,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",2 Beds,2 Beds,40 Lakh
3 Beds,Apartment,"Block F, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.35 Crore
3 Beds,Apartment,"Mirpur, Dhaka",3 Beds,3 Beds,40 Lakh
4 Beds,Apartment,"Sector 13, Uttara, Dhaka",4 Beds,4 Beds,3.7 Crore
3 Beds,Apartment,"Sector 10, Uttara, Dhaka",3 Beds,3 Beds,1.1 Crore
4 Beds,Apartment,"Proshanti R/A, 10 No. North Kattali Ward, Chattogram",4 Beds,4 Beds,85 Lakh
3 Beds,Apartment,"17 No West Bakalia Ward, Bakalia, Chattogram",3 Beds,3 Beds,90 Lakh
2 Beds,Apartment,"Section 1, Mirpur, Dhaka",2 Beds,2 Beds,50 Lakh
3 Beds,Apartment,"Pallabi Extension, Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,85 Lakh
3 Beds,Apartment,"Eastern Pallabi, Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,50 Lakh
3 Beds,Apartment,"Block C, Section 2, Mirpur, Dhaka",3 Beds,3 Beds,1.22 Crore
3 Beds,Apartment,"Pallabi Extension, Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,48 Lakh
3 Beds,Apartment,"Block B, Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,75 Lakh
3 Beds,Apartment,"Eastern Pallabi, Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,55 Lakh
2 Beds,Apartment,"Block C, Section 10, Mirpur, Dhaka",2 Beds,2 Beds,16.2 Lakh
2 Beds,Apartment,"Rupnagar R/A, Mirpur, Dhaka",2 Beds,2 Beds,20 Lakh
3 Beds,Apartment,"Boro Maghbazar, Maghbazar, Dhaka",3 Beds,3 Beds,60 Lakh
4 Beds,Apartment,"Block E, Section 6, Mirpur, Dhaka",4 Beds,4 Beds,1.68 Crore
3 Beds,Apartment,"Block B, Section 10, Mirpur, Dhaka",3 Beds,3 Beds,53 Lakh
3 Beds,Apartment,"East Kazipara, Mirpur, Dhaka",3 Beds,3 Beds,40 Lakh
2 Beds,Apartment,"Block A, Section 10, Mirpur, Dhaka",2 Beds,2 Beds,50 Lakh
2 Beds,Apartment,"Mirpur, Dhaka",2 Beds,2 Beds,32 Lakh
3 Beds,Apartment,"Block C, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.2 Crore
3 Beds,Apartment,"Mirpur, Dhaka",3 Beds,3 Beds,75 Lakh
1 Bed,Apartment,"Rupnagar R/A, Mirpur, Dhaka",1 Bed,1 Bed,12.5 Lakh
3 Beds,Apartment,"East Shewrapara, Mirpur, Dhaka",3 Beds,3 Beds,60 Lakh
3 Beds,Apartment,"Mirpur, Dhaka",3 Beds,3 Beds,32 Lakh
2 Beds,Apartment,"Rampura, Dhaka",2 Beds,2 Beds,60 Lakh
3 Beds,Apartment,"Block D, Section 10, Mirpur, Dhaka",3 Beds,3 Beds,42 Lakh
3 Beds,Apartment,"Sholokbahar, Chattogram",3 Beds,3 Beds,85 Lakh
3 Beds,Apartment,"Sector 12, Uttara, Dhaka",3 Beds,3 Beds,98 Lakh
3 Beds,Apartment,"Rupnagar R/A, Mirpur, Dhaka",3 Beds,3 Beds,51 Lakh
3 Beds,Apartment,"Block B, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.25 Crore
3 Beds,Apartment,"Section 1, Mirpur, Dhaka",3 Beds,3 Beds,45 Lakh
3 Beds,Apartment,"Block C, Section 6, Mirpur, Dhaka",3 Beds,3 Beds,1.25 Crore
3 Beds,Apartment,"Rupnagar R/A, Mirpur, Dhaka",3 Beds,3 Beds,51 Lakh
4 Beds,Apartment,"Proshanti R/A, 10 No. North Kattali Ward, Chattogram",4 Beds,4 Beds,85 Lakh
4 Beds,Apartment,"Proshanti R/A, 10 No. North Kattali Ward, Chattogram",4 Beds,4 Beds,85 Lakh
2 Beds,Apartment,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",2 Beds,2 Beds,40 Lakh
2 Beds,Apartment,"Block C, Section 6, Mirpur, Dhaka",2 Beds,2 Beds,30 Lakh
3 Beds,Apartment,"Sector 9, Uttara, Dhaka",3 Beds,3 Beds,1.1 Crore
